kepid,kepoi_name,kepler_name,koi_period,koi_prad,koi_count
5866724,K00085.02,Kepler-65 b,2.154911236,1.42,3
7773179,K04038.01,,2.156815380,1.06,1
7592922,K06890.01,,2.158889110,0.72,1
11243547,K04517.01,,2.161326620,0.50,1
11401869,K07443.01,,2.161469080,0.95,1
6186964,K02839.01,Kepler-1366 b,2.164570593,1.27,1
10854546,K02104.01,Kepler-1099 b,2.168451063,2.41,1
4935172,K02962.01,,2.172910550,0.93,1
9108085,K02470.01,,2.174898060,1.08,1
9396760,K04788.01,,2.178119080,0.80,1
10397315,K08006.01,,2.178127690,0.78,1
10130057,K04675.01,,2.178128260,0.81,1
10266860,K07996.01,,2.178139540,1.00,1
9579789,K07193.01,,2.178141860,0.92,1
9518558,K07939.01,,2.178142613,1.22,1
9640921,K07210.02,,2.178145130,1.22,2
9640976,K00712.01,,2.178150857,1.11,1
9640931,K04175.01,,2.178151960,1.09,1
9640924,K04239.01,,2.178159350,1.22,1
9641076,K04250.01,,2.178186990,1.03,1
9518651,K04433.01,,2.178237520,0.64,1
3834317,K04203.01,,2.180790980,3.29,1
7368137,K04265.01,,2.182420020,0.70,1
5551672,K03119.01,,2.184437698,0.94,1
12301181,K02059.02,,2.185658860,0.44,2
