kepid,kepoi_name,kepler_name,koi_period,koi_prad,koi_count
2854914,K01113.02,Kepler-268 c,83.446348500,2.73,2
3337425,K01114.01,,7.047100320,25.20,1
3116412,K01115.01,Kepler-772 b,12.992048530,2.03,1
3865567,K01182.01,,11.116202110,8.96,1
3544689,K01183.01,,1.922861499,5.09,1
4037164,K01184.01,,0.635445336,19.00,1
3443790,K01185.01,,1.665784138,97.27,1
3966912,K01186.01,,55.663916700,34.14,1
8394721,K00152.01,Kepler-79 d,52.090816270,7.14,4
11607193,K00983.01,,7.154860800,7.41,2
1161345,K00984.01,Kepler-1973 b,4.287466680,2.29,1
10227501,K00985.01,,2.002779769,1.42,1
2854698,K00986.01,Kepler-260 b,8.187394430,1.92,2
2854698,K00986.02,Kepler-260 c,76.049816300,1.75,2
8559644,K00139.02,Kepler-111 b,3.341799486,1.67,2
6032981,K01054.01,,3.322694800,15.33,1
5866099,K01055.01,,36.977088080,38.60,1
5964985,K01056.01,,1.851409163,20.42,1
6066416,K01057.01,,1.303859704,0.98,1
1996679,K00147.01,,145.562492600,40.15,1
2849805,K01116.01,Kepler-773 b,3.749105745,1.68,1
3114811,K01117.01,Kepler-774 b,11.089566020,3.51,1
2853446,K01118.01,,7.372903440,2.67,1
3003992,K01119.01,,7.244761260,0.65,2
3942446,K01193.01,,119.062488200,10.40,1
3554031,K01194.01,Kepler-415 c,8.707983090,2.01,3
3554031,K01194.02,,14.862307600,1.57,3
3554031,K01194.03,Kepler-415 b,4.176342760,1.23,3
8394721,K00152.02,Kepler-79 c,27.402298590,3.63,4
7295235,K00987.01,Kepler-743 b,3.179267286,1.21,1
2302548,K00988.01,Kepler-261 b,10.381224470,2.18,2
2302548,K00988.02,Kepler-261 c,24.570902300,2.82,2
10743597,K00989.01,,81.221876000,16.59,4
10743597,K00989.02,,0.817026268,2.92,4
9818381,K00135.01,Kepler-43 b,3.024092505,12.14,1
6124941,K01058.01,,5.670155713,5.85,1
6060203,K01059.01,Kepler-757 b,1.022678654,1.14,1
5880320,K01060.01,Kepler-758 b,12.109687090,2.98,4
5880320,K01060.02,Kepler-758 c,4.757961030,1.70,4
5880320,K01060.03,Kepler-758 d,20.497275500,2.96,4
3003992,K01119.02,,13.554805340,0.62,2
6307537,K01120.01,,29.744546680,20.06,1
6359798,K01121.01,,14.154024280,53.25,1
6311681,K01122.01,,0.844786082,35.27,1
6365321,K01123.01,,0.848483947,32.11,1
6301035,K01124.01,,11.990975760,37.47,1
3859079,K01199.01,Kepler-786 b,53.529270200,2.28,1
3557493,K01200.01,,0.393726813,24.17,1
4061149,K01201.01,Kepler-1741 b,2.757584622,1.01,1
3444588,K01202.01,Kepler-787 b,0.928310036,1.16,1
8394721,K00152.03,Kepler-79 b,13.484576680,3.39,4
3962243,K01203.01,Kepler-276 c,31.884147300,3.70,3
10743597,K00989.03,,16.158111120,86.13,4
10015516,K00990.01,,67.692139070,175.98,1
10154388,K00991.01,Kepler-744 b,12.062229620,1.62,1
1432789,K00992.01,Kepler-745 b,9.931463070,2.41,2
1718189,K00993.01,Kepler-262 c,21.853629050,1.75,3
5880320,K01060.04,Kepler-758 e,8.193450650,1.74,4
5130369,K00140.01,,19.978670000,6.85,1
6037187,K01061.01,Kepler-759 b,41.805954400,2.02,1
6147122,K01062.01,,15.451581840,2.02,1
8257407,K01063.01,,89.698168533,102.08,1
8218274,K01064.01,,1.187352427,67.35,1
3964562,K00015.01,,3.012476582,65.25,1
5735762,K00148.01,Kepler-48 b,4.778003060,1.85,3
6292162,K01125.01,,7.814839231,5.33,1
6307521,K01126.01,,29.745249900,3.60,2
6359320,K01127.01,Kepler-269 b,5.326672990,2.26,3
3848972,K01187.01,,0.741057213,26.67,1
3860441,K01188.01,,2.988085455,21.81,1
3765771,K01189.01,,2.783883492,67.17,1
3557341,K01190.01,,0.393727296,23.05,1
3859628,K01191.01,Kepler-1740 b,8.172426440,3.29,1
3644071,K01192.01,,1295.362215000,57.82,2
1718189,K00993.02,Kepler-262 b,13.060793600,1.45,3
1431122,K00994.01,,4.298920100,2.12,1
3858949,K00995.01,,25.951846100,22.32,1
3858824,K00996.01,,25.951853600,24.60,1
2157247,K00997.01,,5.686287390,4.50,1
7601633,K00136.01,,15.663886949,27.36,1
8242681,K01065.01,,4.020628573,16.94,1
8260218,K01066.01,,5.714817603,9.29,1
8246781,K01067.01,,185.022882220,49.82,1
8264070,K01068.01,,2.897432135,14.35,1
8222813,K01069.01,Kepler-760 b,8.704205250,2.86,2
6359320,K01127.02,Kepler-269 c,8.128093300,1.39,3
6359320,K01127.03,,2.836689310,1.19,3
6362874,K01128.01,Kepler-775 b,0.974868896,1.16,1
6272413,K01129.01,Kepler-776 b,4.897210060,1.48,1
8279765,K01130.01,,2.757794163,20.05,1
8330548,K01132.01,,1.914158508,13.63,2
3348082,K01196.01,,3.982166980,3.32,3
3853673,K01197.01,,0.643794198,19.51,1
3447722,K01198.01,Kepler-275 c,16.088323180,3.42,4
3447722,K01198.02,Kepler-275 b,10.300679190,2.20,4
3447722,K01198.03,Kepler-275 d,35.675745300,3.02,4
3447722,K01198.04,,1.008616770,,4
1432214,K00998.01,,161.788327120,36.14,1
2165002,K00999.01,Kepler-263 b,16.568068420,2.54,2
2165002,K00999.02,Kepler-263 c,47.332929900,2.18,2
2441728,K01000.01,,0.856895349,0.82,1
1871056,K01001.01,Kepler-264 b,40.806533300,3.71,2
8222813,K01069.02,Kepler-760 c,2.466970390,1.56,2
12105051,K00141.01,,2.624234833,5.11,1
8240904,K01070.01,Kepler-266 b,6.618363090,2.98,3
8240904,K01070.02,Kepler-266 c,107.721409200,4.75,3
8240904,K01070.03,,92.777790000,1.92,3
8374494,K01133.01,,5.251916208,37.15,1
5735762,K00148.02,Kepler-48 c,9.673958488,2.63,3
8414907,K01134.01,,100.303922800,29.55,2
8414907,K01134.02,,200.611033460,,2
8397446,K01135.01,,0.986620248,43.98,1
8386035,K01136.01,,1.634846310,,1
